Bin Content and Error unit: (Events/[day x 100t x N_h])						
						
Nbins	N_h	Energy 	Width	Content		Error 		Residuals 
     	   	[keV] 	[keV] 	       		     		[(Data-fit)/sigma]
407	498	1256.34	2.79229	0.0120208	0.00454342	-1.23768
408	499	1259.13	2.79337	0.0188898	0.00569547	0.414504
409	500	1261.93	2.79445	0.0120208	0.00454342	-0.519873
410	501	1264.72	2.79554	0.0188898	0.00569547	-0.154839
411	502	1267.52	2.79662	0.0171725	0.00543042	0.22077
412	503	1270.31	2.7977	0.0171725	0.00543042	0.0434096
413	504	1273.11	2.79879	0.0103035	0.00420639	-1.50342
414	505	1275.91	2.79987	0.013738	0.00485712	-0.617008
415	506	1278.71	2.80095	0.0188898	0.00569547	0.469013
416	507	1281.51	2.80204	0.0103035	0.00420639	-1.37732
417	508	1284.31	2.80312	0.013738	0.00485712	-0.609134
418	509	1287.12	2.8042	0.0171725	0.00543042	0.199479
419	510	1289.92	2.80529	0.013738	0.00485712	-0.516892
420	511	1292.73	2.80637	0.0240415	0.00642536	1.36838
421	512	1295.53	2.80745	0.0120208	0.00454342	-0.880862
422	513	1298.34	2.80854	0.0171725	0.00543042	0.227727
423	514	1301.15	2.80962	0.0103035	0.00420639	-1.4227
424	515	1303.96	2.8107	0.0171725	0.00543042	0.324634
425	516	1306.77	2.81179	0.0223243	0.00619163	1.03554
426	517	1309.58	2.81287	0.0120208	0.00454342	-0.926375
427	518	1312.39	2.81395	0.020607	0.00594873	0.811721
428	519	1315.21	2.81504	0.0154553	0.00515175	-0.0331779
429	520	1318.02	2.81612	0.006869	0.0034345	-2.48362
430	521	1320.84	2.81721	0.0171725	0.00543042	0.347126
431	522	1323.66	2.81829	0.013738	0.00485712	-0.33872
432	523	1326.47	2.81937	0.013738	0.00485712	-0.297952
433	524	1329.29	2.82046	0.0171725	0.00543042	0.311491
434	525	1332.11	2.82154	0.0120208	0.00454342	-0.607535
435	526	1334.93	2.82262	0.00858625	0.00383989	-1.83395
436	527	1337.76	2.82371	0.013738	0.00485712	-0.29473
437	528	1340.58	2.82479	0.0171725	0.00543042	0.502686
438	529	1343.41	2.82587	0.0120208	0.00454342	-0.693369
439	530	1346.23	2.82696	0.0188898	0.00569547	0.764429
440	531	1349.06	2.82804	0.013738	0.00485712	-0.0897894
441	532	1351.89	2.82912	0.0154553	0.00515175	0.15239
442	533	1354.72	2.83021	0.0154553	0.00515175	0.169019
443	534	1357.55	2.83129	0.0154553	0.00515175	0.208687
444	535	1360.38	2.83237	0.013738	0.00485712	-0.0920517
445	536	1363.21	2.83346	0.0188898	0.00569547	0.700662
446	537	1366.04	2.83454	0.00858625	0.00383989	-1.42004
447	538	1368.88	2.83562	0.020607	0.00594873	1.09256
448	539	1371.71	2.83671	0.0257588	0.00665088	1.81155
